Collection Name,Link to collection metadata,Archive,Level to integrate into EHRI portal,EHRI portal integration? (Y/N/staging set),Relevant sub-components (folder-level ingests only; some notes may also be included for collection level):,Reference,Finding Aid ID,Conditions governing access (if provided),Original archive's email/website,Further archival contact information
« Ça m'est arrivé »... Être juif en Dordogne entre 1939 et 1944. Enquête orale réalisée par la sonothèque,https://francearchives.gouv.fr/en/findingaid/ead4c4fe461813199c715866ba44704aefdaac6b,Archives départementales de la Dordogne,Collection,,,7 AV 41-96,FRAD024_7AV_41_96 AVEC AUTORISATIONS SANS M3U,,cd24.archives@dordogne.fr,https://francearchives.gouv.fr/en/service/33565
"10 W - Opérations immobilières, réquisitions et reconstruction",https://francearchives.gouv.fr/en/findingaid/650bfe449252ede81315de6a742c57c8871cc0c9,Archives départementales de la Haute-Marne,Collection,,,10 W 1-57,FRAD052_10W_communicable,Statut juridique Archives publiques,"
archives.departementales@haute-marne.fr",https://francearchives.gouv.fr/en/service/33857
"1013 W - Versement de l'Office national des anciens combattants de la Haute-Savoie, centre médico-scolaire de Megève (1943-1945)",https://francearchives.gouv.fr/en/findingaid/3d4f1e1ba07983f0499e4aee644773735f2dc406,Archives départementales de la Haute-Savoie,Collection,Y,,1013 W 1-2,FRAD074_000001157,"Archives publiques
Les archives publiques sont, sous réserve des dispositions de l'article L213-2, librement communicables de plein droit (Code du patrimoine, article L213-1). L'entrée aux Archives publiques des documents communicables ne fait pas obstacle au droit à communication desdits documents.
Des dérogations sont susceptibles d'être accordées sous réserve en particulier que le chercheur motive sa demande et signe l'engagement de ne pas nuire au domaine de la vie privée des individus. Les demandes motivées sont à remettre au directeur des Archives départementales de Haute-Savoie qui, après avoir demandé l'avis au producteur, les transmet avec les deux avis au service interministériel des Archives de France. Celui-ci informe directement le chercheur de sa décision.",archedep@hautesavoie.fr,https://francearchives.gouv.fr/en/service/34110
"128J - Fonds Gaston Papin, résistant et président de l'Aéro-Club de Touraine (1931-1999)",https://francearchives.gouv.fr/en/findingaid/80ce220ced5cc71486d8e5d996219860d83d2964,Archives départementales d'Indre-et-Loire,Collection,,,128J,FRAD037_J_128J,"Accès sur autorisation préalable du directeur des Archives départementales
NC Sur autorisation",archives@departement-touraine.fr,https://francearchives.gouv.fr/en/service/33712
1362W - Bureau de la Police générale et des Etrangers - Seconde Guerre Mondiale,https://francearchives.gouv.fr/en/findingaid/c5004dae83cd07eeefc90888be374b4179c04685,Archives départementales de la Savoie,Folder,,"1362W 1 à 1362W 100
1362W 101 à 1362W 110",1362W 1-110,FRAD073_1362W_1-110,Archives publiques,archives@savoie.fr,https://francearchives.gouv.fr/en/service/34097
1382W - Cabinet du Préfet - Seconde Guerre mondiale,https://francearchives.gouv.fr/en/findingaid/a1120306613180c3faf01f21bcb7091c4ae9cc7b,Archives départementales de la Savoie,Folder,,"Most could be relevant, but in particular for example: Etablissement thermal de la Léchère : plaintes contre la direction (1941-1942) ; Juifs, surveillance : enquête à Saint-Bon (Tarentaise), Val-d'Isère et à Aix-les-Bains (1942) ; fermeture de la station de Val d'Isère : maintien de l'ordre, internements et rapports (1943-1944) ; interdiction de tourisme à Villard-de-Lans, Isère (1944).

",1382W 1-261,FRAD073_1382W_1-261,Archives publiques,archives@savoie.fr,https://francearchives.gouv.fr/en/service/34097
142W - Préfecture. -Camps d’internement. (1939-1947),https://francearchives.gouv.fr/en/findingaid/944e93052c32fe1ae859ea325b09302bcf91c3fa,Archives départementales des Bouches-du-Rhône,Collection,,,142 W,FRAD013_12579,,archives13@departement13.fr,https://francearchives.gouv.fr/en/service/33456
1548W - Dossiers de dommages de guerre relevant de la loi BrüG,https://francearchives.gouv.fr/en/findingaid/4d7077003a2d36bb567f5484e0bf78e47a5f6e30,Archives départementales du Calvados,Collection,,,1548W/7-17,FRAD014_002467,,archives@calvados.fr,https://francearchives.gouv.fr/en/service/33495
1612 W - Banque de France de Chaumont,https://francearchives.gouv.fr/en/findingaid/99cd0cdb20781b5a0410d1f1761b248d6dc3444a,Archives départementales de la Haute-Marne,Folder,,"1612 W - Banque de France de Chaumont
Évènements exceptionnelsn conflit de la seconde guerre mondiale
Dossiers recherche, mission sur la spoliation des juifs de France de décembre 1941 à septembre 2002.",1612 W 1-154,FRAD052_1612W_communicable,,"
archives.departementales@haute-marne.fr",https://francearchives.gouv.fr/en/service/33857
"169J - Fonds Baillargeat, Maillé (20e siècle)",https://francearchives.gouv.fr/en/findingaid/0ac2521c4c7545eefbc31f662f36ec98454949c5,Archives départementales d'Indre-et-Loire,Collection,,,169J,FRAD037_J_169J,"NC Sur autorisation
Accès sur autorisation préalable du directeur des Archives départementales",archives@departement-touraine.fr,https://francearchives.gouv.fr/en/service/33712
"169 J Pierre Rous, le réseau Morhange et son amicale",https://francearchives.gouv.fr/en/findingaid/09219051824c129a31a21e09f9d5c62d34d8e992,Archives départementales de la Haute-Garonne,Collection,,,169 J 1 - 275,FRAD031_0169J,"Par analogie aux textes réglementant la communicabilité des archives publiques, la plupart des documents sont librement communicables : en application des délais de communicabilité déterminés par la loi du 15 juillet 2008 et en application de l’arrêté interministériel du 24 décembre 2015 portant ouverture d’archives relatives à la Seconde guerre mondiale.",archives@cd31.fr,https://francearchives.gouv.fr/en/service/33640
174 W - Direction régionale de la santé. - Organisation et fonctionnement.  (1940-1964),https://francearchives.gouv.fr/en/findingaid/f41563f9807263f1ce7f81e6ea4b5f98e71b09b7,Archives départementales des Bouches-du-Rhône,Folder,,Exodus 1947 : rapport sanitaire sur les émigrants juifs embarqués sur les navires anglais en partance pour la Palestine. https://francearchives.gouv.fr/en/facomponent/1c12697580311ac7fd60d20c7a207803d4751894,174 W,FRAD013_12627,"Archives publiques.
Communicable à l’expiration d’un délai - archives publiques
50 ans
Oui - Publiable sur internet",archives13@departement13.fr,https://francearchives.gouv.fr/en/service/33456
196 J - Fonds d'Adèle Barrucand (1939-1979),https://francearchives.gouv.fr/en/findingaid/6d457d42beab0512e66fd15fc884970458eeb6ce,Archives départementales de la Haute-Savoie,Folder,,"Accueil des prisonniers et déportés à la Libération, https://francearchives.gouv.fr/en/facomponent/bea29532479d2c4746254a4de53ef151d138d3ea",,196 J 1-31,"Archives privées
Communicable.",archedep@hautesavoie.fr,https://francearchives.gouv.fr/en/service/34110
1J - Petits fonds et pièces isolées,https://francearchives.gouv.fr/en/findingaid/002b41e07f3c45050080e8c95ad204dc9143351d,Archives départementales de la Seine-Saint-Denis,Folder,,"« Recensement des Juifs. 1° Il sera procédé du 20 au 31 octobre 1941, à un recensement des Juifs entrant dans les catégories suivantes : a) Anciens combattants de 1914-1918 (…) b) Anciens combattants de 1939-1940 (…) c) Personnes...: https://francearchives.gouv.fr/en/facomponent/dc05b8a7ad4f8908ee37aa89a04890a42cb9f30d; Saint-Ouen, déportés juifs : listes établies par Claude Dewaele des déportés âgés respectivement de plus et de moins de 18 ans....: https://francearchives.gouv.fr/en/facomponent/cef05908768b33f207ebcb9ad6f2dd9eddf8a5fe ; Saint-Ouen : photocopie du « Bon pour graver » des 345 noms sur le Mémorial de la Déportation des Juifs de Saint-Ouen, 1942-1944....: https://francearchives.gouv.fr/en/facomponent/eaee5df2c7f1d25d1f7f30c9bee40dc02a94a8aa ; État français, législation sur les juifs : formulaire type d'attestation sur l'honneur de judaïté/non judaïté....: https://francearchives.gouv.fr/en/facomponent/087ed009244dfad386c7b752d11caaec39268e62 ; Maquette de l'affiche de l'exposition : « Un monument commémoratif au Camp de Drancy à la mémoire des victimes juives des persécutions nazies »....: https://francearchives.gouv.fr/en/facomponent/af049d7390b9984b41cc80f4fdb16019a2f7f6c6 ",1J/1-510,FRAD093_008276,,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"1J1531 - Déportation : témoignages de déportés du dernier convoi de Rennes dit ""train de Langeais"" (1944)",https://francearchives.gouv.fr/en/findingaid/f783e7b4fa9bd1c12075e64b9d5c2c5fce3af9bf,Archives départementales d'Indre-et-Loire,Collection,,,1J/1531,FRAD037_J_1J1531,Communicable,"
archives@departement-touraine.fr",https://francearchives.gouv.fr/en/service/33712
1J1599 - Charles Trouvat : documents militaires de son engagement lors de la seconde guerre mondiale.,https://francearchives.gouv.fr/en/findingaid/cdcb126f2afbc54c7e44704e7d94eec11a1619d7,Archives départementales d'Indre-et-Loire,Collection,,,,FRAD037_J_1J1599,Communicable,"
archives@departement-touraine.fr",https://francearchives.gouv.fr/en/service/33712
"20 W : Préfecture, cabinet",https://francearchives.gouv.fr/en/findingaid/846ca53674bbf9023cdf7f410d13fb36d32f1a8b,Archives départementales d'Eure-et-Loir,Folder,,Seconde Guerre mondiale part of the collection,20 W 1-490,FRAD028_00000020W,"Statut juridique Archives publiques
Communicabilité
Selon législation en vigueur","
archives@eurelien.fr",https://francearchives.gouv.fr/en/service/33606
"200 W - Fonds de la Préfecture du Finistère, archives relatives à la seconde guerre mondiale",https://francearchives.gouv.fr/en/findingaid/49464b9655d337e2500a3f387e183bfb2ebcfd2a,Archives départementales du Finistère,Folder,,"200 W - Fonds de la Préfecture du Finistère, archives relatives à la seconde guerre mondiale
Situation du département
Surveillance de l'opinion et de la population
Affaires juives.: https://francearchives.gouv.fr/en/facomponent/fe90d9c6c423f1227868a93be457cce36ebf3737 ",1,FRAD029_00000200W,Statut juridique Archives publiques,"
archives.departementales@finistere.fr",https://francearchives.gouv.fr/en/service/33616
"2230W , 3310W : Commissariat de Deauville-Trouville : dossiers individuels d'enquête",https://francearchives.gouv.fr/en/findingaid/ddc27b1235ff7d1ccda9ee42fcb78d661f6d8d75,Archives départementales du Calvados,Folder,,DEAUVILLE: https://francearchives.gouv.fr/en/facomponent/8c001963b27c7b6729da79d33aa1c47bb305e654; https://francearchives.gouv.fr/en/facomponent/fdc5ec901af99275df472b33877fdc8c66790ca8; https://francearchives.gouv.fr/en/facomponent/91cbd74648b071650d0d7681b83c9ad9e35441f9https://francearchives.gouv.fr/en/facomponent/91cbd74648b071650d0d7681b83c9ad9e35441f9; https://francearchives.gouv.fr/en/facomponent/efd60b82f5132a863c1eb04448296dece5907ed0; https://francearchives.gouv.fr/en/facomponent/ba825b3186a2c2c9434458f0042bbdeaefec0752; https://francearchives.gouv.fr/en/facomponent/bfabb29a222249c6979d06b31a47221480c12823; https://francearchives.gouv.fr/en/facomponent/72b158d36f6862724009c02986cc34c3b9af6fd8;  TROUVILLE: ,2230W/1 - 2230W/66 ; 3310W/1 - 3310W/13,FRAD014_002387,Communicable,archives@calvados.fr,https://francearchives.gouv.fr/en/service/33495
"2281 W - Versement de l'Office national des anciens combattants de la Haute-Savoie, administration et activités spécifiques",https://francearchives.gouv.fr/en/findingaid/7835e00ae7d40d963210085e3247f86ffc777a82,Archives départementales de la Haute-Savoie,Folder,,"https://francearchives.gouv.fr/en/facomponent/1d254190f4aa8380b952f2354f735411d02f374d 2281 W - Versement de l'Office national des anciens combattants de la Haute-Savoie, administration et activités spécifiques (1942-2011)
Activités spécifiques
Partenariats avec les associations de la citoyenneté combattante
Opérations mémorielles diverses
Concours national de la Résistance et de la Déportation",2281 W 1-57,FRAD074_000000294,"Archives publiques
Les archives publiques sont, sous réserve des dispositions de l'article L. 213-2, librement communicables de plein droit (Code du Patrimoine, article L. 213-1).
L'entrée aux archives publiques des documents communicables ne fait pas obstacle au droit à communication desdits documents.
Des dérogations sont susceptibles d'être accordées sous réserve en particulier que le chercheur motive sa demande et signe l'engagement de ne pas nuire au domaine de la vie privée des individus. Les demandes motivées sont à remettre au directeur des Archives départementales de Haute-Savoie qui, après avoir demandé l'avis au producteur des archives, les transmet avec les deux avis au service interministériel des Archives de France. Celui-ci informe directement le chercheur de sa décision.",archedep@hautesavoie.fr,https://francearchives.gouv.fr/en/service/34110
2447 W - Tribunal de commerce: Greffe de Dijon,https://francearchives.gouv.fr/en/findingaid/d33d462ef3bb30d341971ea173f89bfff12fcddd,"Archives départementales de Côte d'Or
",Folder,,"Some of this archive's holdings are listed in the EHRI portal under this institution, but using USHMM metadata; example: https://portal.ehri-project.eu/institutions/fr-006158",2447 W 1-2,FRAD021_000003977,,archives@cotedor.fr,https://francearchives.gouv.fr/en/service/33541
